Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/29/2023 11:39:01

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23538	1	Nothing	61	10531	0	1			0		other	0
23538	1	Manual	06/29/2023 10:31:01	10687	156	NA
23538	1	Port Input	2	76478	65947	4
23538	1	Response	3	76478	65947	4
23538	1	Port Input	2	136911	126380	4
23538	1	Response	3	136911	126380	4
23538	1	Port Input	2	199568	189037	4
23538	1	Response	3	199568	189037	4
23538	1	Port Input	2	238047	227516	5
23538	1	Response	3	238047	227516	5
23538	1	Port Input	2	240235	229704	4
23538	1	Response	3	240235	229704	4
23538	1	Port Input	2	359175	348644	4
23538	1	Response	3	359175	348644	4
23538	1	Port Input	2	361408	350877	4
23538	1	Response	3	361408	350877	4
23538	1	Port Input	2	445709	435178	4
23538	1	Response	3	445709	435178	4
23538	1	Port Input	2	448776	438245	5
23538	1	Response	3	448776	438245	5
23538	1	Port Input	2	520497	509966	4
23538	1	Response	3	520497	509966	4
23538	1	Port Input	2	523072	512541	4
23538	1	Response	3	523072	512541	4
23538	1	Port Input	2	538489	527958	4
23538	1	Response	3	538489	527958	4
23538	1	Port Input	1	560896	550365	4
23538	1	Response	2	560896	550365	4
23538	1	Port Input	1	561054	550523	4
23538	1	Response	2	561054	550523	4
23538	1	Port Input	2	577471	566940	4
23538	1	Response	3	577471	566940	4
23538	1	Port Input	2	577707	567176	4
23538	1	Port Input	2	617455	606924	4
23538	1	Response	3	617455	606924	4
23538	1	Port Input	2	619261	608730	5
23538	1	Response	3	619261	608730	5
23538	1	Port Input	2	633285	622754	4
23538	1	Response	3	633285	622754	4
23538	1	Port Input	2	659726	649195	4
23538	1	Response	3	659726	649195	4
23538	1	Port Input	2	661820	651289	4
23538	1	Response	3	661820	651289	4
23538	1	Port Input	2	677828	667297	4
23538	1	Response	3	677828	667297	4
23538	1	Port Input	2	699178	688648	4
23538	1	Response	3	699178	688648	4
23538	1	Port Input	2	715485	704954	4
23538	1	Response	3	715485	704954	4
23538	1	Port Input	2	717411	706880	4
23538	1	Response	3	717411	706880	4
23538	2	Nothing	51	747288	0	0			0		other	0
23538	2	Port Input	2	751218	3930	4
23538	2	Response	3	751218	3930	4
23538	3	Nothing	1000	751233	0	0			0		other	0
23538	4	Nothing	62	751341	0	1			0		other	0
23538	5	Nothing	101	751456	0	0			0		false_alarm	59
23538	5	Port Input	1	752390	934	4
23538	5	Response	2	752390	934	4
23538	5	Port Input	1	754088	2632	4
23538	5	Response	2	754088	2632	4
23538	5	Port Input	1	755645	4189	4
23538	5	Response	2	755645	4189	4
23538	5	Port Input	2	759580	8124	4
23538	5	Response	3	759580	8124	4
23538	6	Nothing	19	782078	0	1			0		other	0
23538	7	Nothing	52	801489	0	1			0		other	0
23538	7	Port Input	2	803177	1689	7
23538	7	Response	3	803177	1689	7
23538	8	Nothing	1001	803203	0	1			0		other	0
23538	9	Nothing	63	803314	0	1			0		other	0
23538	10	Nothing	111	803439	0	1			0		false_alarm	74
23538	10	Port Input	2	805080	1641	4
23538	10	Response	3	805080	1641	4
23538	10	Port Input	2	806102	2663	4
23538	10	Response	3	806102	2663	4
23538	10	Port Input	2	807253	3815	4
23538	10	Response	3	807253	3815	4
23538	10	Port Input	2	808524	5085	4
23538	10	Response	3	808524	5085	4
23538	10	Port Input	2	810001	6563	5
23538	10	Response	3	810001	6563	5
23538	10	Port Input	2	811252	7814	4
23538	10	Response	3	811252	7814	4
23538	10	Port Input	2	812948	9510	4
23538	10	Response	3	812948	9510	4
23538	10	Port Input	2	814272	10833	4
23538	10	Response	3	814272	10833	4
23538	10	Port Input	2	814481	11042	4
23538	10	Port Input	2	815724	12285	4
23538	10	Response	3	815724	12285	4
23538	10	Port Input	1	817697	14258	5
23538	10	Response	2	817697	14258	5
23538	10	Port Input	1	819072	15633	4
23538	10	Response	2	819072	15633	4
23538	10	Port Input	2	820508	17069	4
23538	10	Response	3	820508	17069	4
23538	10	Port Input	2	820692	17253	4
23538	10	Response	3	820692	17253	4
23538	10	Port Input	2	822147	18708	4
23538	10	Response	3	822147	18708	4
23538	10	Port Input	1	823950	20512	4
23538	10	Response	2	823950	20512	4
23538	10	Port Input	1	825564	22125	4
23538	10	Response	2	825564	22125	4
23538	10	Port Input	2	827383	23945	4
23538	10	Response	3	827383	23945	4
23538	10	Port Input	2	828748	25310	5
23538	10	Response	3	828748	25310	5
23538	10	Port Input	2	828918	25479	5
23538	10	Port Input	1	830737	27299	4
23538	10	Response	2	830737	27299	4
23538	10	Port Input	1	832218	28779	4
23538	10	Response	2	832218	28779	4
23538	11	Nothing	19	833721	0	1			0		other	0
23538	11	Port Input	1	841365	7645	4
23538	11	Response	2	841365	7645	4
23538	11	Port Input	2	850802	17081	4
23538	11	Response	3	850802	17081	4
23538	11	Port Input	2	850985	17265	4
23538	11	Port Input	2	852552	18831	4
23538	11	Response	3	852552	18831	4
23538	11	Port Input	1	854488	20768	4
23538	11	Response	2	854488	20768	4
23538	11	Port Input	1	856310	22590	4
23538	11	Response	2	856310	22590	4
23538	11	Port Input	2	865207	31486	4
23538	11	Response	3	865207	31486	4
23538	12	Nothing	19	873519	0	1			0		other	0
23538	12	Port Input	2	882371	8851	5
23538	12	Response	3	882371	8851	5
23538	12	Port Input	2	884435	10916	4
23538	12	Response	3	884435	10916	4
23538	12	Port Input	2	886248	12729	4
23538	12	Response	3	886248	12729	4
23538	12	Port Input	1	888412	14893	4
23538	12	Response	2	888412	14893	4
23538	13	Nothing	19	899583	0	1			0		other	0
23538	13	Port Input	2	903538	3955	4
23538	13	Response	3	903538	3955	4
23538	13	Port Input	2	907835	8252	4
23538	13	Response	3	907835	8252	4
23538	13	Port Input	1	910005	10422	4
23538	13	Response	2	910005	10422	4
23538	13	Port Input	2	911552	11969	4
23538	13	Response	3	911552	11969	4
23538	14	Nothing	19	924330	0	1			0		other	0
23538	14	Port Input	2	928786	4456	4
23538	14	Response	3	928786	4456	4
23538	14	Port Input	2	932410	8080	4
23538	14	Response	3	932410	8080	4
23538	14	Port Input	2	953535	29206	4
23538	14	Response	3	953535	29206	4
23538	14	Port Input	2	955455	31125	4
23538	14	Response	3	955455	31125	4
23538	15	Nothing	19	960225	0	1			0		other	0
23538	16	Nothing	52	971088	0	0			0		other	0
23538	16	Port Input	2	973966	2879	4
23538	16	Response	3	973966	2879	4
23538	17	Nothing	1000	973981	0	0			0		other	0
23538	18	Nothing	62	974090	0	1			0		other	0
23538	19	Nothing	111	974213	0	1			0		false_alarm	164
23538	19	Port Input	2	975088	875	4
