Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/28/2023 16:08:29

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23541	1	Nothing	61	10407	0	0			0		other	0
23541	1	Manual	06/28/2023 14:54:58	10561	154	NA
23541	1	Port Input	2	130992	120585	4
23541	1	Response	3	130992	120585	4
23541	1	Port Input	2	132278	121871	4
23541	1	Response	3	132278	121871	4
23541	1	Port Input	2	247693	237286	4
23541	1	Response	3	247693	237286	4
23541	1	Port Input	2	249338	238931	4
23541	1	Response	3	249338	238931	4
23541	1	Port Input	2	375591	365184	3
23541	1	Response	3	375591	365184	3
23541	1	Port Input	2	443561	433154	4
23541	1	Response	3	443561	433154	4
23541	1	Port Input	2	576587	566180	4
23541	1	Response	3	576587	566180	4
23541	1	Port Input	2	577990	567583	4
23541	1	Response	3	577990	567583	4
23541	1	Port Input	1	623707	613300	5
23541	1	Response	2	623707	613300	5
23541	1	Port Input	1	625163	614756	3
23541	1	Response	2	625163	614756	3
23541	1	Port Input	1	626584	616177	3
23541	1	Response	2	626584	616177	3
23541	2	Nothing	52	677385	0	1			0		other	0
23541	2	Port Input	2	680570	3186	3
23541	2	Response	3	680570	3186	3
23541	3	Nothing	1000	680584	0	1			0		other	0
23541	4	Nothing	62	680692	0	0			0		other	0
23541	5	Nothing	111	680811	0	0			0		false_alarm	32
23541	5	Port Input	2	681759	948	4
23541	5	Response	3	681759	948	4
23541	5	Port Input	2	682854	2043	4
23541	5	Response	3	682854	2043	4
23541	5	Port Input	2	684007	3196	4
23541	5	Response	3	684007	3196	4
23541	5	Port Input	2	685153	4342	3
23541	5	Response	3	685153	4342	3
23541	5	Port Input	2	686315	5504	3
23541	5	Response	3	686315	5504	3
23541	5	Port Input	2	686320	5509	3
23541	5	Port Input	2	687799	6988	4
23541	5	Response	3	687799	6988	4
23541	5	Port Input	2	687805	6994	4
23541	5	Port Input	2	689038	8227	4
23541	5	Response	3	689038	8227	4
23541	5	Port Input	2	689042	8231	3
23541	5	Port Input	2	690229	9418	3
23541	5	Response	3	690229	9418	3
23541	5	Port Input	1	691506	10695	4
23541	5	Response	2	691506	10695	4
23541	5	Port Input	2	692840	12029	3
23541	5	Response	3	692840	12029	3
23541	5	Port Input	2	694156	13345	4
23541	5	Response	3	694156	13345	4
23541	5	Port Input	2	695436	14625	3
23541	5	Response	3	695436	14625	3
23541	5	Port Input	1	696738	15927	4
23541	5	Response	2	696738	15927	4
23541	5	Port Input	1	696741	15930	4
23541	5	Port Input	2	698007	17196	4
23541	5	Response	3	698007	17196	4
23541	5	Port Input	2	700696	19885	3
23541	5	Response	3	700696	19885	3
23541	5	Port Input	2	702016	21205	4
23541	5	Response	3	702016	21205	4
23541	5	Port Input	2	703358	22547	4
23541	5	Response	3	703358	22547	4
23541	6	Nothing	19	711342	0	0			0		other	0
23541	6	Port Input	1	749277	37934	4
23541	6	Response	2	749277	37934	4
23541	6	Port Input	1	750694	39351	4
23541	6	Response	2	750694	39351	4
23541	6	Port Input	1	752021	40678	5
23541	6	Response	2	752021	40678	5
23541	7	Nothing	19	760240	0	1			0		other	0
23541	8	Nothing	51	808783	0	0			0		other	0
23541	8	Port Input	1	810770	1988	5
23541	8	Response	2	810770	1988	5
23541	9	Nothing	1000	810790	0	1			0		other	0
23541	10	Nothing	62	810898	0	0			0		other	0
23541	11	Nothing	100	811017	0	1			0		false_alarm	84
23541	11	Port Input	1	812046	1029	4
23541	11	Response	2	812046	1029	4
23541	11	Port Input	2	813008	1991	4
23541	11	Response	3	813008	1991	4
23541	11	Port Input	1	814119	3102	3
23541	11	Response	2	814119	3102	3
23541	11	Port Input	1	815361	4344	4
23541	11	Response	2	815361	4344	4
23541	11	Port Input	2	816633	5616	3
23541	11	Response	3	816633	5616	3
23541	11	Port Input	1	817910	6893	4
23541	11	Response	2	817910	6893	4
23541	11	Port Input	1	819025	8008	3
23541	11	Response	2	819025	8008	3
23541	11	Port Input	1	823520	12503	3
23541	11	Response	2	823520	12503	3
23541	11	Port Input	1	824655	13638	5
23541	11	Response	2	824655	13638	5
23541	11	Port Input	2	825932	14915	3
23541	11	Response	3	825932	14915	3
23541	11	Port Input	2	827119	16102	4
23541	11	Response	3	827119	16102	4
23541	11	Port Input	2	828272	17255	4
23541	11	Response	3	828272	17255	4
23541	11	Port Input	1	828349	17332	4
23541	11	Response	2	828349	17332	4
23541	11	Port Input	1	829677	18660	4
23541	11	Response	2	829677	18660	4
23541	11	Port Input	1	829680	18663	3
23541	11	Port Input	2	831037	20020	4
23541	11	Response	3	831037	20020	4
23541	11	Port Input	2	832430	21413	3
23541	11	Response	3	832430	21413	3
23541	12	Nothing	19	841416	0	0			0		other	0
23541	12	Port Input	1	857427	16012	4
23541	12	Response	2	857427	16012	4
23541	12	Port Input	1	858716	17300	5
23541	12	Response	2	858716	17300	5
23541	13	Nothing	19	869295	0	1			0		other	0
23541	13	Port Input	2	913801	44506	3
23541	13	Response	3	913801	44506	3
23541	13	Port Input	2	915181	45886	4
23541	13	Response	3	915181	45886	4
23541	13	Port Input	1	916617	47322	3
23541	13	Response	2	916617	47322	3
23541	13	Port Input	1	916620	47325	3
23541	14	Nothing	19	917856	0	1			0		other	0
23541	14	Port Input	2	948924	31068	4
23541	14	Response	3	948924	31068	4
23541	14	Port Input	2	950069	32213	4
23541	14	Port Input	2	950124	32269	3
23541	14	Port Input	2	950129	32273	3
23541	15	Nothing	19	958681	0	1			0		other	0
23541	15	Port Input	2	958744	63	3
23541	15	Response	3	958744	63	3
23541	15	Port Input	1	960691	2010	4
23541	15	Port Input	1	960695	2014	4
23541	15	Port Input	2	960771	2090	5
23541	15	Port Input	2	961096	2415	3
23541	15	Response	3	961096	2415	3
23541	15	Port Input	2	961100	2419	3
23541	15	Port Input	2	963298	4617	4
23541	15	Port Input	2	967294	8613	4
23541	15	Port Input	2	967498	8817	5
23541	15	Response	3	967498	8817	5
23541	16	Nothing	19	973076	0	1			0		other	0
23541	17	Nothing	52	1012608	0	1			0		other	0
23541	17	Port Input	1	1014648	2041	4
23541	17	Response	2	1014648	2041	4
23541	18	Nothing	1000	1014665	0	1			0		other	0
23541	19	Nothing	62	1014776	0	0			0		other	0
23541	20	Nothing	110	1014890	0	0			0		false_alarm	156
23541	20	Port Input	1	1016042	1152	4
23541	20	Response	2	1016042	1152	4
23541	20	Port Input	1	1017363	2473	4
23541	20	Response	2	1017363	2473	4
23541	20	Port Input	1	1017367	2477	3
23541	20	Port Input	1	1018682	3792	4
23541	20	Response	2	1018682	3792	4
23541	21	Nothing	19	1045160	0	1			0		other	0
23541	21	Port Input	2	1056422	11262	5
23541	21	Response	3	1056422	11262	5
23541	21	Port Input	2	1057524	12364	3
23541	21	Response	3	1057524	12364	3
23541	21	Port Input	1	1058810	13650	3
23541	21	Response	2	1058810	13650	3
23541	21	Port Input	1	1058813	13653	4
23541	21	Port Input	1	1061306	16146	3
23541	21	Response	2	1061306	16146	3
23541	21	Port Input	1	1061312	16153	3
23541	22	Nothing	19	1064989	0	1			0		other	0
23541	23	Nothing	51	1086650	0	1			0		other	0
23541	23	Port Input	1	1088599	1949	3
23541	23	Response	2	1088599	1949	3
23541	24	Nothing	1000	1088611	0	1			0		other	0
23541	25	Nothing	62	1088718	0	1			0		other	0
23541	26	Nothing	100	1088838	0	0			0		false_alarm	181
23541	26	Port Input	1	1089875	1037	4
23541	26	Response	2	1089875	1037	4
23541	26	Port Input	2	1090940	2102	4
23541	26	Response	3	1090940	2102	4
23541	26	Port Input	2	1090943	2105	5
23541	26	Port Input	1	1092089	3251	4
23541	26	Response	2	1092089	3251	4
23541	26	Port Input	1	1093272	4434	4
23541	26	Response	2	1093272	4434	4
23541	26	Port Input	1	1093275	4437	5
23541	26	Port Input	1	1094462	5624	3
23541	26	Response	2	1094462	5624	3
23541	26	Port Input	1	1095523	6685	4
23541	26	Response	2	1095523	6685	4
23541	26	Port Input	2	1096721	7883	4
23541	26	Response	3	1096721	7883	4
23541	26	Port Input	2	1096724	7887	4
23541	26	Port Input	1	1097946	9108	4
23541	26	Response	2	1097946	9108	4
23541	26	Port Input	1	1099019	10181	3
23541	26	Response	2	1099019	10181	3
23541	26	Port Input	2	1100218	11380	3
23541	26	Response	3	1100218	11380	3
23541	26	Port Input	2	1101380	12542	3
23541	26	Response	3	1101380	12542	3
23541	26	Port Input	2	1101385	12547	4
23541	26	Port Input	2	1102589	13751	3
23541	26	Response	3	1102589	13751	3
23541	26	Port Input	1	1103773	14935	5
23541	26	Response	2	1103773	14935	5
23541	26	Port Input	2	1105013	16175	3
23541	26	Response	3	1105013	16175	3
23541	26	Port Input	2	1106219	17381	3
23541	26	Response	3	1106219	17381	3
23541	27	Nothing	19	1119178	0	1			0		other	0
23541	29	Nothing	52	1154155	0	0			0		other	0
23541	29	Port Input	1	1156169	2015	4
23541	29	Response	2	1156169	2015	4
23541	30	Nothing	1000	1156184	0	1			0		other	0
23541	31	Nothing	62	1156291	0	1			0		other	0
23541	32	Nothing	110	1156404	0	1			0		false_alarm	222
23541	32	Port Input	1	1157463	1058	4
23541	32	Response	2	1157463	1058	4
23541	32	Port Input	1	1158657	2252	4
23541	32	Response	2	1158657	2252	4
23541	32	Port Input	1	1160108	3704	4
23541	32	Response	2	1160108	3704	4
23541	32	Port Input	2	1161458	5053	4
23541	32	Response	3	1161458	5053	4
23541	32	Port Input	1	1162752	6348	4
23541	32	Response	2	1162752	6348	4
23541	33	Nothing	19	1187103	0	1			0		other	0
23541	34	Nothing	52	1229310	0	1			0		other	0
23541	34	Port Input	1	1231056	1747	4
23541	34	Response	2	1231056	1747	4
23541	35	Nothing	1000	1231072	0	1			0		other	0
23541	36	Nothing	62	1231182	0	1			0		other	0
23541	37	Nothing	110	1231300	0	1			0		false_alarm	239
23541	37	Port Input	1	1232532	1231	5
23541	37	Response	2	1232532	1231	5
23541	37	Port Input	1	1233916	2615	4
23541	37	Response	2	1233916	2615	4
23541	37	Port Input	1	1236393	5093	3
23541	37	Response	2	1236393	5093	3
23541	37	Port Input	1	1236396	5096	4
23541	38	Nothing	19	1263879	0	1			0		other	0
23541	38	Port Input	2	1269310	5431	3
23541	38	Response	3	1269310	5431	3
23541	38	Port Input	2	1271012	7133	3
23541	38	Response	3	1271012	7133	3
23541	38	Port Input	2	1272548	8669	8
23541	38	Response	3	1272548	8669	8
23541	38	Port Input	1	1273876	9997	3
23541	38	Response	2	1273876	9997	3
23541	38	Port Input	1	1273880	10001	4
23541	38	Port Input	1	1275475	11596	4
23541	38	Response	2	1275475	11596	4
23541	39	Nothing	19	1288786	0	1			0		other	0
23541	39	Port Input	2	1323050	34265	142
23541	39	Response	3	1323050	34265	142
23541	40	Nothing	19	1323201	0	1			0		other	0
23541	40	Port Input	1	1326013	2812	5
23541	40	Response	2	1326013	2812	5
23541	41	Nothing	19	1344662	0	1			0		other	0
23541	41	Port Input	1	1367483	22821	4
23541	41	Response	2	1367483	22821	4
23541	41	Port Input	1	1368920	24258	3
23541	41	Response	2	1368920	24258	3
