Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/21/2023 11:28:24

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23508	1	Nothing	61	10668	0	1			0		other	0
23508	1	Manual	06/21/2023 10:21:32	10829	162	NA
23508	1	Port Input	1	26143	15475	4
23508	1	Response	2	26143	15475	4
23508	1	Port Input	1	38387	27719	4
23508	1	Response	2	38387	27719	4
23508	1	Port Input	1	47597	36929	4
23508	1	Response	2	47597	36929	4
23508	1	Port Input	1	60204	49536	4
23508	1	Response	2	60204	49536	4
23508	1	Port Input	1	62809	52141	4
23508	1	Response	2	62809	52141	4
23508	1	Port Input	1	75769	65101	7
23508	1	Response	2	75769	65101	7
23508	1	Port Input	1	90014	79346	4
23508	1	Response	2	90014	79346	4
23508	1	Port Input	1	103547	92879	5
23508	1	Response	2	103547	92879	5
23508	1	Port Input	1	111041	100373	4
23508	1	Response	2	111041	100373	4
23508	1	Port Input	1	128474	117806	4
23508	1	Response	2	128474	117806	4
23508	1	Port Input	1	139101	128434	4
23508	1	Response	2	139101	128434	4
23508	1	Port Input	1	179918	169250	4
23508	1	Response	2	179918	169250	4
23508	1	Port Input	1	180062	169394	4
23508	1	Port Input	1	182055	171387	4
23508	1	Response	2	182055	171387	4
23508	1	Port Input	1	201203	190536	4
23508	1	Response	2	201203	190536	4
23508	1	Port Input	1	233474	222806	4
23508	1	Response	2	233474	222806	4
23508	1	Port Input	1	235213	224545	4
23508	1	Response	2	235213	224545	4
23508	1	Port Input	1	256715	246047	4
23508	1	Response	2	256715	246047	4
23508	1	Port Input	1	271522	260854	4
23508	1	Response	2	271522	260854	4
23508	1	Port Input	1	282281	271614	4
23508	1	Response	2	282281	271614	4
23508	1	Port Input	1	301145	290478	4
23508	1	Response	2	301145	290478	4
23508	1	Port Input	1	312157	301489	4
23508	1	Response	2	312157	301489	4
23508	1	Port Input	1	314379	303711	5
23508	1	Response	2	314379	303711	5
23508	1	Port Input	1	328404	317737	4
23508	1	Response	2	328404	317737	4
23508	1	Port Input	1	342701	332033	9
23508	1	Response	2	342701	332033	9
23508	1	Port Input	1	356845	346177	4
23508	1	Response	2	356845	346177	4
23508	1	Port Input	1	359243	348575	4
23508	1	Response	2	359243	348575	4
23508	1	Port Input	1	361175	350507	4
23508	1	Response	2	361175	350507	4
23508	1	Port Input	1	375203	364535	4
23508	1	Response	2	375203	364535	4
23508	1	Port Input	1	378129	367462	4
23508	1	Response	2	378129	367462	4
23508	1	Port Input	1	387478	376811	5
23508	1	Response	2	387478	376811	5
23508	1	Port Input	1	405894	395226	5
23508	1	Response	2	405894	395226	5
23508	1	Port Input	1	414769	404101	4
23508	1	Response	2	414769	404101	4
23508	1	Port Input	1	431669	421001	4
23508	1	Response	2	431669	421001	4
23508	1	Port Input	1	445642	434974	4
23508	1	Response	2	445642	434974	4
23508	1	Port Input	1	456426	445758	11
23508	1	Response	2	456426	445758	11
23508	1	Port Input	1	472376	461708	4
23508	1	Response	2	472376	461708	4
23508	1	Port Input	1	474310	463642	4
23508	1	Response	2	474310	463642	4
23508	1	Port Input	1	494513	483845	4
23508	1	Response	2	494513	483845	4
23508	1	Port Input	1	533856	523189	4
23508	1	Response	2	533856	523189	4
23508	1	Port Input	1	555195	544527	4
23508	1	Response	2	555195	544527	4
23508	1	Port Input	2	572296	561628	4
23508	1	Response	3	572296	561628	4
23508	1	Port Input	2	572337	561669	4
23508	1	Port Input	2	573564	562896	4
23508	1	Response	3	573564	562896	4
23508	1	Port Input	2	573778	563110	4
23508	1	Response	3	573778	563110	4
23508	1	Port Input	2	575492	564824	4
23508	1	Response	3	575492	564824	4
23508	1	Port Input	2	576866	566198	4
23508	1	Response	3	576866	566198	4
23508	1	Port Input	2	577116	566448	4
23508	1	Response	3	577116	566448	4
23508	1	Port Input	2	579046	568379	4
23508	1	Response	3	579046	568379	4
23508	1	Port Input	2	579152	568484	4
23508	1	Port Input	2	581434	570766	5
23508	1	Response	3	581434	570766	5
23508	1	Port Input	2	583932	573264	4
23508	1	Response	3	583932	573264	4
23508	1	Port Input	2	586880	576212	4
23508	1	Response	3	586880	576212	4
23508	1	Port Input	2	587117	576449	5
23508	1	Port Input	2	590419	579752	4
23508	1	Response	3	590419	579752	4
23508	1	Port Input	2	590438	579771	4
23508	1	Port Input	1	642932	632264	4
23508	1	Response	2	642932	632264	4
23508	1	Port Input	1	644612	633944	4
23508	1	Response	2	644612	633944	4
23508	1	Port Input	1	646810	636142	5
23508	1	Response	2	646810	636142	5
23508	1	Port Input	1	676710	666042	4
23508	1	Response	2	676710	666042	4
23508	1	Port Input	1	677891	667223	4
23508	1	Response	2	677891	667223	4
23508	1	Port Input	1	680246	669578	4
23508	1	Response	2	680246	669578	4
23508	1	Port Input	1	682013	671346	4
23508	1	Response	2	682013	671346	4
23508	1	Port Input	1	706297	695629	4
23508	1	Response	2	706297	695629	4
23508	2	Nothing	52	761615	0	1			0		other	0
23508	2	Port Input	1	763915	2300	4
23508	2	Response	2	763915	2300	4
23508	3	Nothing	1000	763932	0	1			0		other	0
23508	4	Nothing	62	764040	0	1			0		other	0
23508	5	Nothing	110	764161	0	1			0		false_alarm	133
23508	5	Port Input	1	765236	1074	4
23508	5	Response	2	765236	1074	4
23508	5	Port Input	1	768711	4550	4
23508	5	Response	2	768711	4550	4
23508	5	Port Input	1	770539	6378	4
23508	5	Response	2	770539	6378	4
23508	6	Nothing	19	794669	0	1			0		other	0
23508	6	Port Input	1	832869	38200	4
23508	6	Response	2	832869	38200	4
23508	7	Nothing	19	835710	0	1			0		other	0
23508	8	Nothing	51	849299	0	0			0		other	0
23508	8	Port Input	1	851789	2491	4
23508	8	Response	2	851789	2491	4
23508	9	Nothing	1000	851807	0	1			0		other	0
23508	10	Nothing	62	851914	0	1			0		other	0
23508	11	Nothing	100	852035	0	1			0		false_alarm	149
23508	11	Port Input	1	853804	1769	4
23508	11	Response	2	853804	1769	4
23508	11	Port Input	1	855018	2983	4
23508	11	Response	2	855018	2983	4
23508	11	Port Input	1	856230	4195	4
23508	11	Response	2	856230	4195	4
23508	11	Port Input	1	857507	5472	4
23508	11	Response	2	857507	5472	4
23508	11	Port Input	1	858955	6920	4
23508	11	Response	2	858955	6920	4
23508	11	Port Input	1	860315	8280	4
23508	11	Response	2	860315	8280	4
23508	11	Port Input	1	861884	9849	4
23508	11	Response	2	861884	9849	4
23508	11	Port Input	1	863258	11223	5
23508	11	Response	2	863258	11223	5
23508	11	Port Input	1	864649	12614	4
23508	11	Response	2	864649	12614	4
23508	11	Port Input	1	864815	12780	4
23508	11	Port Input	1	866232	14197	4
23508	11	Response	2	866232	14197	4
23508	11	Port Input	1	867708	15673	4
23508	11	Response	2	867708	15673	4
23508	11	Port Input	1	869484	17449	4
23508	11	Response	2	869484	17449	4
23508	11	Port Input	1	871049	19014	4
23508	11	Response	2	871049	19014	4
23508	11	Port Input	1	872880	20845	4
23508	11	Response	2	872880	20845	4
23508	11	Port Input	1	874663	22628	4
23508	11	Response	2	874663	22628	4
23508	11	Port Input	1	876110	24075	4
23508	11	Response	2	876110	24075	4
23508	11	Port Input	1	877709	25674	4
23508	11	Response	2	877709	25674	4
23508	11	Port Input	1	879562	27527	4
23508	11	Response	2	879562	27527	4
23508	11	Port Input	1	881192	29157	4
23508	11	Response	2	881192	29157	4
23508	12	Nothing	19	882324	0	1			0		other	0
23508	12	Port Input	1	897779	15455	4
23508	12	Response	2	897779	15455	4
23508	13	Nothing	19	899039	0	1			0		other	0
23508	13	Port Input	1	899169	130	4
23508	13	Response	2	899169	130	4
23508	13	Port Input	1	901118	2079	8
23508	13	Response	2	901118	2079	8
23508	13	Port Input	1	902549	3510	6
23508	13	Response	2	902549	3510	6
23508	14	Nothing	19	911374	0	1			0		other	0
23508	14	Port Input	1	921482	10108	4
23508	14	Response	2	921482	10108	4
23508	15	Nothing	19	938258	0	1			0		other	0
23508	15	Port Input	1	940838	2580	4
23508	15	Response	2	940838	2580	4
23508	16	Nothing	19	952013	0	1			0		other	0
23508	16	Port Input	1	970975	18962	4
23508	16	Response	2	970975	18962	4
23508	16	Port Input	1	972673	20660	4
23508	16	Response	2	972673	20660	4
23508	16	Port Input	1	974316	22303	4
23508	16	Response	2	974316	22303	4
23508	16	Port Input	1	975889	23877	4
23508	16	Response	2	975889	23877	4
23508	17	Nothing	51	981588	0	1			0		other	0
23508	17	Port Input	1	983847	2259	4
23508	17	Response	2	983847	2259	4
23508	18	Nothing	1000	983863	0	1			0		other	0
23508	19	Nothing	62	983970	0	1			0		other	0
23508	20	Nothing	100	984092	0	0			0		false_alarm	219
23508	20	Port Input	1	985695	1602	4
23508	20	Response	2	985695	1602	4
23508	20	Port Input	1	987069	2977	5
23508	20	Response	2	987069	2977	5
23508	20	Port Input	1	988357	4265	4
23508	20	Response	2	988357	4265	4
23508	20	Port Input	1	989759	5667	4
23508	20	Response	2	989759	5667	4
23508	20	Port Input	1	991082	6989	4
23508	20	Response	2	991082	6989	4
23508	20	Port Input	1	992687	8595	4
23508	20	Response	2	992687	8595	4
23508	20	Port Input	1	993865	9773	4
23508	20	Response	2	993865	9773	4
23508	20	Port Input	1	995348	11255	4
23508	20	Response	2	995348	11255	4
23508	20	Port Input	1	996811	12719	4
23508	20	Response	2	996811	12719	4
23508	20	Port Input	1	998306	14213	4
23508	20	Response	2	998306	14213	4
23508	20	Port Input	1	999817	15724	6
23508	20	Response	2	999817	15724	6
23508	20	Port Input	1	1001394	17302	4
23508	20	Response	2	1001394	17302	4
23508	20	Port Input	1	1002853	18760	4
23508	20	Response	2	1002853	18760	4
23508	20	Port Input	1	1004668	20576	4
23508	20	Response	2	1004668	20576	4
23508	20	Port Input	1	1006424	22332	4
23508	20	Response	2	1006424	22332	4
23508	20	Port Input	1	1007843	23751	9
23508	20	Response	2	1007843	23751	9
23508	20	Port Input	1	1009511	25419	4
23508	20	Response	2	1009511	25419	4
23508	20	Port Input	1	1011270	27177	4
23508	20	Response	2	1011270	27177	4
23508	20	Port Input	1	1012806	28714	4
23508	20	Response	2	1012806	28714	4
23508	21	Nothing	19	1014378	0	0			0		other	0
23508	21	Port Input	1	1014784	406	4
23508	21	Response	2	1014784	406	4
23508	21	Port Input	1	1028804	14426	9
23508	21	Response	2	1028804	14426	9
23508	22	Nothing	19	1029111	0	1			0		other	0
23508	22	Port Input	1	1030395	1284	6
23508	22	Response	2	1030395	1284	6
23508	22	Port Input	1	1032100	2989	4
23508	22	Response	2	1032100	2989	4
23508	22	Port Input	1	1050905	21794	5
23508	22	Response	2	1050905	21794	5
23508	22	Port Input	1	1052475	23364	5
23508	22	Response	2	1052475	23364	5
23508	22	Port Input	1	1054274	25163	4
23508	22	Response	2	1054274	25163	4
23508	23	Nothing	19	1066318	0	1			0		other	0
23508	23	Port Input	1	1080775	14457	4
23508	23	Response	2	1080775	14457	4
23508	23	Port Input	1	1082509	16191	4
23508	23	Response	2	1082509	16191	4
23508	24	Nothing	19	1084555	0	0			0		other	0
23508	25	Nothing	52	1116702	0	0			0		other	0
23508	25	Port Input	1	1120014	3312	5
23508	25	Response	2	1120014	3312	5
23508	26	Nothing	1000	1120030	0	1			0		other	0
23508	27	Nothing	62	1120138	0	1			0		other	0
23508	28	Nothing	110	1120254	0	1			0		false_alarm	285
23508	28	Port Input	1	1121400	1146	4
23508	28	Response	2	1121400	1146	4
23508	28	Port Input	1	1123293	3040	4
23508	28	Response	2	1123293	3040	4
23508	28	Port Input	1	1124881	4627	4
23508	28	Response	2	1124881	4627	4
23508	28	Port Input	1	1126532	6278	4
23508	28	Response	2	1126532	6278	4
23508	29	Nothing	19	1150538	0	1			0		other	0
23508	31	Nothing	51	1162084	0	1			0		other	0
23508	31	Port Input	1	1165589	3504	4
23508	31	Response	2	1165589	3504	4
23508	32	Nothing	1003	1165606	0	1			0		other	0
23508	33	Nothing	63	1165720	0	1			0		other	0
23508	34	Nothing	100	1165844	0	1			0		false_alarm	300
23508	34	Port Input	1	1167365	1521	4
23508	34	Response	2	1167365	1521	4
23508	34	Port Input	1	1168737	2893	5
23508	34	Response	2	1168737	2893	5
23508	34	Port Input	1	1169942	4097	4
23508	34	Response	2	1169942	4097	4
23508	34	Port Input	1	1171296	5452	4
23508	34	Response	2	1171296	5452	4
23508	34	Port Input	1	1172592	6748	6
23508	34	Response	2	1172592	6748	6
23508	34	Port Input	1	1174211	8367	6
23508	34	Response	2	1174211	8367	6
23508	34	Port Input	1	1175439	9594	4
23508	34	Response	2	1175439	9594	4
23508	34	Port Input	1	1176978	11134	5
23508	34	Response	2	1176978	11134	5
23508	34	Port Input	1	1178579	12735	4
23508	34	Response	2	1178579	12735	4
23508	34	Port Input	1	1180077	14233	4
23508	34	Response	2	1180077	14233	4
23508	34	Port Input	1	1181657	15813	4
23508	34	Response	2	1181657	15813	4
23508	34	Port Input	1	1183196	17352	4
23508	34	Response	2	1183196	17352	4
23508	34	Port Input	1	1185116	19272	4
23508	34	Response	2	1185116	19272	4
23508	34	Port Input	1	1187026	21181	5
23508	34	Response	2	1187026	21181	5
23508	34	Port Input	1	1188559	22715	4
23508	34	Response	2	1188559	22715	4
23508	34	Port Input	1	1190322	24478	4
23508	34	Response	2	1190322	24478	4
23508	34	Port Input	1	1192092	26248	4
23508	34	Response	2	1192092	26248	4
23508	34	Port Input	1	1193330	27486	4
23508	34	Response	2	1193330	27486	4
23508	34	Port Input	1	1195140	29296	4
23508	34	Response	2	1195140	29296	4
23508	35	Nothing	19	1196599	0	0			0		other	0
23508	35	Port Input	1	1196667	68	4
23508	35	Response	2	1196667	68	4
23508	35	Port Input	1	1198285	1686	4
23508	35	Response	2	1198285	1686	4
23508	36	Nothing	19	1213638	0	1			0		other	0
23508	37	Nothing	51	1234473	0	1			0		other	0
23508	37	Port Input	1	1234975	502	4
23508	37	Response	2	1234975	502	4
23508	38	Nothing	1000	1234991	0	1			0		other	0
23508	39	Nothing	62	1235100	0	0			0		other	0
23508	40	Nothing	100	1235224	0	1			0		false_alarm	350
23508	40	Port Input	1	1236791	1567	4
23508	40	Response	2	1236791	1567	4
23508	40	Port Input	1	1238219	2995	4
23508	40	Response	2	1238219	2995	4
23508	40	Port Input	1	1239527	4302	4
23508	40	Response	2	1239527	4302	4
23508	40	Port Input	1	1240898	5674	4
23508	40	Response	2	1240898	5674	4
23508	40	Port Input	1	1242570	7346	7
23508	40	Response	2	1242570	7346	7
23508	40	Port Input	1	1243804	8580	4
23508	40	Response	2	1243804	8580	4
23508	40	Port Input	1	1245270	10045	5
23508	40	Response	2	1245270	10045	5
23508	40	Port Input	1	1246946	11722	4
23508	40	Response	2	1246946	11722	4
23508	40	Port Input	1	1248150	12925	5
