Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/16/2023 08:58:00

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23508	1	Nothing	61	10440	0	0			0		other	0
23508	1	Manual	06/16/2023 08:12:35	10593	153	NA
23508	1	Port Input	1	47596	37156	4
23508	1	Response	2	47596	37156	4
23508	1	Port Input	1	48911	38471	4
23508	1	Response	2	48911	38471	4
23508	1	Port Input	1	49061	38621	4
23508	1	Response	2	49061	38621	4
23508	1	Port Input	1	68319	57880	4
23508	1	Response	2	68319	57880	4
23508	1	Port Input	1	91659	81219	4
23508	1	Response	2	91659	81219	4
23508	1	Port Input	1	92873	82433	4
23508	1	Response	2	92873	82433	4
23508	1	Port Input	1	111674	101234	4
23508	1	Response	2	111674	101234	4
23508	1	Port Input	1	113241	102801	5
23508	1	Response	2	113241	102801	5
23508	1	Port Input	1	128832	118392	4
23508	1	Response	2	128832	118392	4
23508	1	Port Input	1	146428	135988	4
23508	1	Response	2	146428	135988	4
23508	1	Port Input	1	164000	153560	4
23508	1	Response	2	164000	153560	4
23508	1	Port Input	1	180882	170442	4
23508	1	Response	2	180882	170442	4
23508	1	Port Input	1	182148	171708	4
23508	1	Response	2	182148	171708	4
23508	1	Port Input	1	184570	174130	7
23508	1	Response	2	184570	174130	7
23508	1	Port Input	1	206283	195844	4
23508	1	Response	2	206283	195844	4
23508	1	Port Input	1	240244	229804	6
23508	1	Response	2	240244	229804	6
23508	1	Port Input	1	241636	231196	4
23508	1	Response	2	241636	231196	4
23508	1	Port Input	1	274055	263615	4
23508	1	Response	2	274055	263615	4
23508	1	Port Input	1	274729	264289	4
23508	1	Response	2	274729	264289	4
23508	1	Port Input	1	276428	265988	4
23508	1	Response	2	276428	265988	4
23508	1	Port Input	1	322000	311560	4
23508	1	Response	2	322000	311560	4
23508	1	Port Input	1	324214	313774	4
23508	1	Response	2	324214	313774	4
23508	1	Port Input	1	352834	342394	4
23508	1	Response	2	352834	342394	4
23508	1	Port Input	1	354740	344300	4
23508	1	Response	2	354740	344300	4
23508	1	Port Input	1	400263	389824	5
23508	1	Response	2	400263	389824	5
23508	1	Port Input	2	416310	405870	4
23508	1	Response	3	416310	405870	4
23508	1	Port Input	2	417989	407549	4
23508	1	Response	3	417989	407549	4
23508	1	Port Input	2	419672	409232	4
23508	1	Response	3	419672	409232	4
23508	1	Port Input	2	424738	414298	7
23508	1	Response	3	424738	414298	7
23508	1	Port Input	1	462834	452394	4
23508	1	Response	2	462834	452394	4
23508	1	Port Input	1	484353	473913	4
23508	1	Response	2	484353	473913	4
23508	1	Port Input	1	505612	495173	4
23508	1	Response	2	505612	495173	4
23508	1	Port Input	1	542185	531745	4
23508	1	Response	2	542185	531745	4
23508	1	Port Input	2	614798	604358	5
23508	1	Response	3	614798	604358	5
23508	1	Port Input	1	654873	644433	4
23508	1	Response	2	654873	644433	4
23508	1	Port Input	1	678734	668294	4
23508	1	Response	2	678734	668294	4
23508	1	Port Input	1	704720	694280	6
23508	1	Response	2	704720	694280	6
23508	1	Port Input	1	706597	696157	4
23508	1	Response	2	706597	696157	4
23508	1	Port Input	2	743722	733282	4
23508	1	Response	3	743722	733282	4
23508	1	Port Input	2	745572	735132	5
23508	1	Response	3	745572	735132	5
23508	1	Port Input	2	747024	736584	4
23508	1	Response	3	747024	736584	4
23508	2	Nothing	51	755455	0	1			0		other	0
23508	2	Port Input	1	759626	4170	5
23508	2	Response	2	759626	4170	5
23508	3	Nothing	1000	759642	0	1			0		other	0
23508	4	Nothing	62	759751	0	1			0		other	0
23508	5	Nothing	100	759872	0	1			0		false_alarm	92
23508	5	Port Input	1	761544	1673	4
23508	5	Response	2	761544	1673	4
23508	5	Port Input	1	763347	3475	5
23508	5	Response	2	763347	3475	5
23508	5	Port Input	1	764426	4554	5
23508	5	Response	2	764426	4554	5
23508	5	Port Input	1	765691	5819	4
23508	5	Response	2	765691	5819	4
23508	5	Port Input	1	767057	7185	4
23508	5	Response	2	767057	7185	4
23508	5	Port Input	1	768374	8503	4
23508	5	Response	2	768374	8503	4
23508	5	Port Input	1	770053	10182	4
23508	5	Response	2	770053	10182	4
23508	5	Port Input	1	771550	11678	4
23508	5	Response	2	771550	11678	4
23508	5	Port Input	1	773118	13247	4
23508	5	Response	2	773118	13247	4
23508	5	Port Input	1	774654	14782	4
23508	5	Response	2	774654	14782	4
23508	5	Port Input	1	776468	16597	6
23508	5	Response	2	776468	16597	6
23508	5	Port Input	1	777736	17865	4
23508	5	Response	2	777736	17865	4
23508	5	Port Input	1	779375	19503	4
23508	5	Response	2	779375	19503	4
23508	5	Port Input	1	781209	21337	4
23508	5	Response	2	781209	21337	4
23508	5	Port Input	1	783101	23229	4
23508	5	Response	2	783101	23229	4
23508	5	Port Input	1	784593	24721	4
23508	5	Response	2	784593	24721	4
23508	6	Nothing	19	790416	0	1			0		other	0
23508	7	Nothing	52	812101	0	1			0		other	0
23508	7	Port Input	1	814802	2702	4
23508	7	Response	2	814802	2702	4
23508	8	Nothing	1000	814823	0	1			0		other	0
23508	9	Nothing	62	814931	0	1			0		other	0
23508	10	Nothing	110	815048	0	0			0		false_alarm	131
23508	10	Port Input	1	816581	1534	4
23508	10	Response	2	816581	1534	4
23508	10	Port Input	1	818384	3336	4
23508	10	Response	2	818384	3336	4
23508	10	Port Input	1	843937	28889	4
23508	10	Response	2	843937	28889	4
23508	11	Nothing	19	845341	0	1			0		other	0
23508	11	Port Input	1	845397	56	4
23508	11	Response	2	845397	56	4
23508	11	Port Input	1	845502	161	4
