Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/16/2023 10:36:57

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23524	1	Nothing	61	10455	0	1			0		other	0
23524	1	Manual	06/16/2023 10:32:36	10613	158	NA
23524	1	Port Input	2	309928	299474	4
23524	1	Response	3	309928	299474	4
23524	1	Port Input	2	311712	301258	4
23524	1	Response	3	311712	301258	4
23524	1	Port Input	2	313179	302724	4
23524	1	Response	3	313179	302724	4
23524	1	Port Input	2	326937	316482	5
23524	1	Response	3	326937	316482	5
23524	1	Port Input	2	397201	386746	4
23524	1	Response	3	397201	386746	4
23524	1	Port Input	2	417137	406683	4
23524	1	Response	3	417137	406683	4
23524	1	Port Input	2	418508	408054	4
23524	1	Response	3	418508	408054	4
23524	1	Port Input	2	452553	442098	5
23524	1	Response	3	452553	442098	5
23524	1	Port Input	2	491985	481531	4
23524	1	Response	3	491985	481531	4
23524	1	Port Input	2	539895	529441	4
23524	1	Response	3	539895	529441	4
23524	1	Port Input	2	541456	531002	5
23524	1	Response	3	541456	531002	5
23524	1	Port Input	2	542734	532279	4
23524	1	Response	3	542734	532279	4
23524	1	Port Input	2	546392	535937	4
23524	1	Response	3	546392	535937	4
23524	1	Port Input	2	547681	537226	4
23524	1	Response	3	547681	537226	4
23524	1	Port Input	2	549035	538581	4
23524	1	Response	3	549035	538581	4
23524	1	Port Input	2	550306	539851	4
23524	1	Response	3	550306	539851	4
23524	1	Port Input	2	551554	541099	4
23524	1	Response	3	551554	541099	4
23524	1	Port Input	2	552961	542507	4
23524	1	Response	3	552961	542507	4
23524	1	Port Input	2	554351	543897	5
23524	1	Response	3	554351	543897	5
23524	1	Port Input	2	555739	545285	4
23524	1	Response	3	555739	545285	4
23524	1	Port Input	2	557197	546743	4
23524	1	Response	3	557197	546743	4
23524	1	Port Input	2	558456	548002	6
23524	1	Response	3	558456	548002	6
