Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/19/2023 13:07:23

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23524	1	Nothing	61	10431	0	1			0		other	0
23524	1	Manual	06/19/2023 12:15:36	10589	158	NA
23524	1	Port Input	2	128463	118032	4
23524	1	Response	3	128463	118032	4
23524	1	Port Input	1	340154	329723	4
23524	1	Response	2	340154	329723	4
23524	1	Port Input	2	345550	335119	5
23524	1	Response	3	345550	335119	5
23524	1	Port Input	2	345624	335193	5
23524	1	Port Input	1	350515	340084	5
23524	1	Response	2	350515	340084	5
23524	1	Port Input	1	350543	340112	4
23524	1	Port Input	2	389686	379255	4
23524	1	Response	3	389686	379255	4
23524	1	Port Input	1	402522	392091	4
23524	1	Response	2	402522	392091	4
23524	1	Port Input	1	403389	392958	4
23524	1	Response	2	403389	392958	4
23524	1	Port Input	1	404633	394202	4
23524	1	Response	2	404633	394202	4
23524	1	Port Input	1	405968	395538	4
23524	1	Response	2	405968	395538	4
23524	1	Port Input	1	407222	396791	4
23524	1	Response	2	407222	396791	4
23524	1	Port Input	1	408798	398368	4
23524	1	Response	2	408798	398368	4
23524	1	Port Input	1	410008	399577	4
23524	1	Response	2	410008	399577	4
23524	1	Port Input	1	410179	399748	5
23524	1	Port Input	1	437539	427108	4
23524	1	Response	2	437539	427108	4
23524	1	Port Input	2	476444	466014	4
23524	1	Response	3	476444	466014	4
23524	1	Port Input	1	478155	467724	4
23524	1	Response	2	478155	467724	4
23524	1	Port Input	1	480179	469748	5
23524	1	Response	2	480179	469748	5
23524	1	Port Input	1	527443	517012	4
23524	1	Response	2	527443	517012	4
23524	1	Port Input	1	529315	518885	4
23524	1	Response	2	529315	518885	4
23524	1	Port Input	2	571594	561163	5
23524	1	Response	3	571594	561163	5
23524	1	Port Input	2	571881	561450	4
23524	1	Response	3	571881	561450	4
23524	1	Port Input	2	573295	562864	7
23524	1	Response	3	573295	562864	7
23524	1	Port Input	1	574830	564399	4
23524	1	Response	2	574830	564399	4
23524	1	Port Input	1	576177	565746	9
23524	1	Response	2	576177	565746	9
23524	1	Port Input	2	577801	567370	4
23524	1	Response	3	577801	567370	4
23524	1	Port Input	2	650300	639869	4
23524	1	Response	3	650300	639869	4
23524	1	Port Input	1	651610	641180	4
23524	1	Response	2	651610	641180	4
23524	1	Port Input	1	653545	643114	4
23524	1	Response	2	653545	643114	4
23524	1	Port Input	1	654911	644481	4
23524	1	Response	2	654911	644481	4
23524	1	Port Input	1	698418	687987	5
23524	1	Response	2	698418	687987	5
23524	1	Port Input	1	700056	689625	5
23524	1	Response	2	700056	689625	5
23524	2	Nothing	52	761659	0	1			0		other	0
23524	2	Port Input	2	767015	5356	4
23524	2	Response	3	767015	5356	4
23524	3	Nothing	1000	767031	0	1			0		other	0
23524	4	Nothing	62	767139	0	0			0		other	0
23524	5	Nothing	111	767260	0	1			0		false_alarm	73
23524	5	Port Input	2	768393	1133	4
23524	5	Response	3	768393	1133	4
23524	5	Port Input	2	770913	3653	4
23524	5	Response	3	770913	3653	4
23524	5	Port Input	2	772120	4860	4
23524	5	Response	3	772120	4860	4
23524	5	Port Input	2	773390	6130	4
23524	5	Response	3	773390	6130	4
23524	5	Port Input	2	774659	7398	4
23524	5	Response	3	774659	7398	4
23524	5	Port Input	2	775947	8687	4
23524	5	Response	3	775947	8687	4
23524	5	Port Input	2	777285	10025	4
23524	5	Response	3	777285	10025	4
23524	5	Port Input	2	778633	11372	5
23524	5	Response	3	778633	11372	5
23524	5	Port Input	2	779817	12556	5
23524	5	Response	3	779817	12556	5
23524	5	Port Input	1	781145	13885	4
23524	5	Response	2	781145	13885	4
23524	5	Port Input	1	782440	15179	4
23524	5	Response	2	782440	15179	4
23524	5	Port Input	2	783815	16555	4
23524	5	Response	3	783815	16555	4
23524	5	Port Input	2	785059	17799	4
23524	5	Response	3	785059	17799	4
23524	5	Port Input	2	786425	19165	4
23524	5	Response	3	786425	19165	4
23524	5	Port Input	1	787877	20617	4
23524	5	Response	2	787877	20617	4
23524	5	Port Input	1	789321	22061	4
23524	5	Response	2	789321	22061	4
23524	5	Port Input	2	790831	23570	4
23524	5	Response	3	790831	23570	4
23524	5	Port Input	2	792411	25151	4
23524	5	Response	3	792411	25151	4
23524	6	Nothing	19	797771	0	0			0		other	0
23524	6	Port Input	2	801184	3412	4
23524	6	Response	3	801184	3412	4
23524	6	Port Input	1	802740	4969	4
23524	6	Response	2	802740	4969	4
23524	7	Nothing	19	810261	0	1			0		other	0
23524	8	Nothing	51	823868	0	1			0		other	0
23524	8	Port Input	2	825524	1656	4
23524	8	Response	3	825524	1656	4
23524	9	Nothing	1000	825541	0	1			0		other	0
23524	10	Nothing	62	825650	0	1			0		other	0
23524	11	Nothing	101	825766	0	0			0		false_alarm	121
23524	11	Port Input	1	827015	1249	4
23524	11	Response	2	827015	1249	4
23524	11	Port Input	1	828398	2632	4
23524	11	Response	2	828398	2632	4
23524	11	Port Input	2	829634	3868	4
23524	11	Response	3	829634	3868	4
23524	11	Port Input	2	830936	5170	4
23524	11	Response	3	830936	5170	4
23524	11	Port Input	2	832382	6616	4
23524	11	Response	3	832382	6616	4
23524	11	Port Input	1	833741	7975	4
23524	11	Response	2	833741	7975	4
23524	11	Port Input	1	835032	9266	4
23524	11	Response	2	835032	9266	4
23524	11	Port Input	1	836632	10866	4
23524	11	Response	2	836632	10866	4
23524	11	Port Input	2	838295	12529	4
23524	11	Response	3	838295	12529	4
23524	11	Port Input	2	839651	13885	4
23524	11	Response	3	839651	13885	4
23524	12	Nothing	19	856049	0	1			0		other	0
23524	12	Port Input	1	876031	19982	5
23524	12	Response	2	876031	19982	5
23524	12	Port Input	1	877441	21392	4
23524	12	Response	2	877441	21392	4
23524	13	Nothing	19	880558	0	1			0		other	0
23524	14	Nothing	51	904178	0	1			0		other	0
23524	14	Port Input	1	906607	2429	4
23524	14	Response	2	906607	2429	4
23524	15	Nothing	1000	906623	0	1			0		other	0
23524	16	Nothing	62	906731	0	0			0		other	0
23524	17	Nothing	100	906853	0	1			0		false_alarm	153
23524	17	Port Input	1	907879	1027	4
23524	17	Response	2	907879	1027	4
23524	17	Port Input	1	909318	2465	4
23524	17	Response	2	909318	2465	4
23524	17	Port Input	1	910457	3604	4
23524	17	Response	2	910457	3604	4
23524	17	Port Input	1	911816	4963	4
23524	17	Response	2	911816	4963	4
23524	17	Port Input	1	911917	5064	4
23524	17	Port Input	1	913217	6364	4
23524	17	Response	2	913217	6364	4
23524	17	Port Input	1	914511	7658	4
23524	17	Response	2	914511	7658	4
23524	17	Port Input	1	915840	8987	4
23524	17	Response	2	915840	8987	4
23524	17	Port Input	1	917281	10428	4
23524	17	Response	2	917281	10428	4
23524	17	Port Input	1	918399	11546	4
23524	17	Response	2	918399	11546	4
23524	17	Port Input	1	919814	12961	5
23524	17	Response	2	919814	12961	5
23524	17	Port Input	1	921052	14199	4
23524	17	Response	2	921052	14199	4
23524	17	Port Input	1	922583	15731	4
23524	17	Response	2	922583	15731	4
23524	17	Port Input	1	924053	17200	4
23524	17	Response	2	924053	17200	4
23524	17	Port Input	2	925447	18594	4
23524	17	Response	3	925447	18594	4
23524	17	Port Input	2	926894	20041	4
23524	17	Response	3	926894	20041	4
23524	17	Port Input	1	928030	21177	4
23524	17	Response	2	928030	21177	4
23524	17	Port Input	1	929391	22538	4
23524	17	Response	2	929391	22538	4
23524	17	Port Input	2	930921	24068	4
23524	17	Response	3	930921	24068	4
23524	17	Port Input	2	932279	25426	4
23524	17	Response	3	932279	25426	4
23524	17	Port Input	1	933912	27060	4
23524	17	Response	2	933912	27060	4
23524	17	Port Input	1	935266	28413	4
23524	17	Response	2	935266	28413	4
23524	18	Nothing	19	937263	0	1			0		other	0
23524	18	Port Input	1	960886	23624	4
23524	18	Response	2	960886	23624	4
23524	18	Port Input	1	962202	24939	4
23524	18	Response	2	962202	24939	4
23524	18	Port Input	1	963376	26113	4
23524	18	Response	2	963376	26113	4
23524	18	Port Input	1	963540	26277	5
23524	18	Port Input	2	965069	27806	5
23524	18	Response	3	965069	27806	5
23524	18	Port Input	2	966427	29164	5
23524	18	Response	3	966427	29164	5
23524	19	Nothing	19	967349	0	1			0		other	0
23524	20	Nothing	52	994180	0	0			0		other	0
23524	20	Port Input	1	996659	2478	4
23524	20	Response	2	996659	2478	4
23524	21	Nothing	1000	996683	0	1			0		other	0
23524	22	Nothing	62	996791	0	1			0		other	0
23524	23	Nothing	110	996907	0	1			0		false_alarm	215
23524	23	Port Input	1	998234	1327	4
23524	23	Response	2	998234	1327	4
23524	23	Port Input	1	999535	2628	4
23524	23	Response	2	999535	2628	4
23524	23	Port Input	2	1000842	3935	6
23524	23	Response	3	1000842	3935	6
23524	23	Port Input	1	1002253	5346	4
23524	23	Response	2	1002253	5346	4
23524	24	Nothing	19	1027221	0	1			0		other	0
23524	26	Nothing	51	1043717	0	1			0		other	0
23524	26	Port Input	1	1046459	2742	4
23524	26	Response	2	1046459	2742	4
23524	27	Nothing	1000	1046474	0	1			0		other	0
23524	28	Nothing	62	1046581	0	1			0		other	0
23524	29	Nothing	100	1046701	0	1			0		false_alarm	230
23524	29	Port Input	1	1047709	1008	5
23524	29	Response	2	1047709	1008	5
23524	29	Port Input	1	1049030	2329	5
23524	29	Response	2	1049030	2329	5
23524	29	Port Input	2	1051482	4781	4
23524	29	Response	3	1051482	4781	4
23524	29	Port Input	1	1052594	5893	4
23524	29	Response	2	1052594	5893	4
23524	29	Port Input	1	1053842	7140	5
23524	29	Response	2	1053842	7140	5
23524	29	Port Input	2	1055687	8986	4
23524	29	Response	3	1055687	8986	4
23524	29	Port Input	2	1056633	9932	4
23524	29	Response	3	1056633	9932	4
23524	29	Port Input	1	1057901	11200	5
23524	29	Response	2	1057901	11200	5
23524	29	Port Input	1	1059175	12474	5
23524	29	Response	2	1059175	12474	5
23524	29	Port Input	1	1060637	13936	4
23524	29	Response	2	1060637	13936	4
23524	29	Port Input	2	1062116	15415	4
23524	29	Response	3	1062116	15415	4
23524	29	Port Input	2	1063357	16656	5
23524	29	Response	3	1063357	16656	5
23524	29	Port Input	1	1064635	17933	4
23524	29	Response	2	1064635	17933	4
23524	29	Port Input	1	1066055	19354	4
23524	29	Response	2	1066055	19354	4
23524	29	Port Input	1	1067395	20694	4
23524	29	Response	2	1067395	20694	4
23524	29	Port Input	1	1068877	22176	4
23524	29	Response	2	1068877	22176	4
23524	29	Port Input	1	1070339	23638	4
23524	29	Response	2	1070339	23638	4
23524	29	Port Input	1	1071863	25162	4
23524	29	Response	2	1071863	25162	4
23524	29	Port Input	2	1073541	26840	4
23524	29	Response	3	1073541	26840	4
23524	29	Port Input	2	1074987	28286	4
23524	29	Response	3	1074987	28286	4
23524	30	Nothing	19	1077478	0	1			0		other	0
23524	31	Nothing	52	1090922	0	1			0		other	0
23524	31	Port Input	1	1092854	1932	4
23524	31	Response	2	1092854	1932	4
23524	32	Nothing	1000	1092870	0	0			0		other	0
23524	33	Nothing	62	1092981	0	1			0		other	0
23524	34	Nothing	110	1093100	0	1			0		false_alarm	277
23524	34	Port Input	1	1094068	967	4
23524	34	Response	2	1094068	967	4
23524	34	Port Input	1	1095274	2174	4
23524	34	Response	2	1095274	2174	4
23524	34	Port Input	1	1096573	3472	4
23524	34	Response	2	1096573	3472	4
23524	34	Port Input	1	1098138	5037	4
23524	34	Response	2	1098138	5037	4
23524	34	Port Input	2	1099540	6440	4
23524	34	Response	3	1099540	6440	4
23524	34	Port Input	1	1100751	7651	4
23524	34	Response	2	1100751	7651	4
23524	34	Port Input	1	1102285	9184	4
23524	34	Response	2	1102285	9184	4
23524	34	Port Input	1	1103658	10558	5
23524	34	Response	2	1103658	10558	5
23524	34	Port Input	1	1103787	10686	4
23524	34	Port Input	1	1105427	12326	4
23524	34	Response	2	1105427	12326	4
23524	35	Nothing	19	1125989	0	1			0		other	0
23524	35	Port Input	1	1138117	12129	4
23524	35	Response	2	1138117	12129	4
23524	35	Port Input	1	1139413	13424	5
23524	35	Response	2	1139413	13424	5
23524	35	Port Input	1	1140495	14506	4
23524	35	Response	2	1140495	14506	4
23524	35	Port Input	2	1141982	15993	4
23524	35	Response	3	1141982	15993	4
23524	35	Port Input	2	1143277	17289	4
23524	35	Response	3	1143277	17289	4
23524	35	Port Input	2	1144655	18666	4
23524	35	Response	3	1144655	18666	4
23524	35	Port Input	1	1145964	19975	4
23524	35	Response	2	1145964	19975	4
23524	35	Port Input	1	1147474	21485	4
23524	35	Response	2	1147474	21485	4
23524	36	Nothing	19	1159928	0	1			0		other	0
23524	36	Port Input	1	1182230	22302	123
23524	36	Response	2	1182230	22302	123
23524	37	Nothing	51	1182479	0	1			0		other	0
23524	37	Port Input	1	1183773	1293	4
23524	37	Response	2	1183773	1293	4
23524	38	Nothing	1000	1183789	0	1			0		other	0
23524	39	Nothing	62	1183900	0	1			0		other	0
23524	40	Nothing	100	1184021	0	1			0		false_alarm	322
23524	40	Port Input	1	1185524	1504	4
23524	40	Response	2	1185524	1504	4
23524	40	Port Input	1	1186823	2802	5
23524	40	Response	2	1186823	2802	5
23524	40	Port Input	1	1188181	4160	4
23524	40	Response	2	1188181	4160	4
23524	40	Port Input	1	1189608	5587	4
23524	40	Response	2	1189608	5587	4
23524	40	Port Input	1	1190884	6863	4
23524	40	Response	2	1190884	6863	4
23524	40	Port Input	1	1192225	8204	4
23524	40	Response	2	1192225	8204	4
23524	40	Port Input	1	1193515	9494	4
23524	40	Response	2	1193515	9494	4
23524	40	Port Input	1	1194915	10894	7
23524	40	Response	2	1194915	10894	7
23524	40	Port Input	1	1196082	12062	4
23524	40	Response	2	1196082	12062	4
23524	40	Port Input	1	1197337	13316	4
23524	40	Response	2	1197337	13316	4
23524	40	Port Input	2	1198720	14699	4
23524	40	Response	3	1198720	14699	4
23524	40	Port Input	2	1200114	16093	4
23524	40	Response	3	1200114	16093	4
23524	40	Port Input	2	1201331	17311	4
23524	40	Response	3	1201331	17311	4
23524	40	Port Input	1	1202591	18570	5
23524	40	Response	2	1202591	18570	5
23524	40	Port Input	1	1203988	19967	4
23524	40	Response	2	1203988	19967	4
23524	40	Port Input	1	1205276	21255	5
23524	40	Response	2	1205276	21255	5
23524	40	Port Input	2	1206730	22709	4
23524	40	Response	3	1206730	22709	4
23524	40	Port Input	2	1208036	24015	5
23524	40	Response	3	1208036	24015	5
23524	40	Port Input	2	1209493	25472	4
23524	40	Response	3	1209493	25472	4
23524	40	Port Input	1	1210902	26881	5
23524	40	Response	2	1210902	26881	5
23524	40	Port Input	1	1212465	28444	4
23524	40	Response	2	1212465	28444	4
23524	40	Port Input	1	1214215	30194	4
23524	40	Response	2	1214215	30194	4
23524	40	Port Input	1	1215854	31833	4
23524	40	Response	2	1215854	31833	4
23524	41	Nothing	19	1216934	0	1			0		other	0
23524	41	Port Input	1	1217653	719	4
23524	41	Response	2	1217653	719	4
23524	41	Port Input	1	1218950	2016	5
23524	41	Response	2	1218950	2016	5
23524	41	Port Input	1	1220540	3606	4
23524	41	Response	2	1220540	3606	4
23524	41	Port Input	2	1221968	5034	4
23524	41	Response	3	1221968	5034	4
23524	41	Port Input	2	1223298	6364	4
23524	41	Response	3	1223298	6364	4
23524	41	Port Input	1	1246814	29880	5
23524	41	Response	2	1246814	29880	5
23524	41	Port Input	1	1248147	31213	5
23524	41	Response	2	1248147	31213	5
23524	41	Port Input	2	1249691	32757	4
23524	41	Response	3	1249691	32757	4
23524	42	Nothing	19	1251043	0	1			0		other	0
23524	42	Port Input	2	1251066	23	4
23524	42	Response	3	1251066	23	4
23524	42	Port Input	1	1252435	1393	4
23524	42	Response	2	1252435	1393	4
23524	42	Port Input	1	1253897	2854	4
23524	42	Response	2	1253897	2854	4
23524	43	Nothing	19	1282888	0	1			0		other	0
23524	43	Port Input	1	1284874	1985	4
23524	43	Response	2	1284874	1985	4
23524	43	Port Input	1	1285689	2801	4
23524	43	Response	2	1285689	2801	4
23524	43	Port Input	1	1286943	4055	4
23524	43	Response	2	1286943	4055	4
23524	43	Port Input	1	1288367	5479	4
23524	43	Response	2	1288367	5479	4
23524	43	Port Input	1	1290067	7179	4
23524	43	Response	2	1290067	7179	4
23524	43	Port Input	2	1291357	8468	4
23524	43	Response	3	1291357	8468	4
23524	43	Port Input	2	1292885	9997	4
23524	43	Response	3	1292885	9997	4
23524	44	Nothing	19	1294753	0	1			0		other	0
23524	44	Port Input	1	1329892	35138	4
23524	44	Response	2	1329892	35138	4
23524	44	Port Input	1	1331319	36566	5
23524	44	Response	2	1331319	36566	5
23524	44	Port Input	1	1332759	38005	4
23524	44	Response	2	1332759	38005	4
23524	44	Port Input	2	1334345	39592	4
23524	44	Response	3	1334345	39592	4
23524	45	Nothing	19	1339950	0	1			0		other	0
23524	45	Port Input	1	1370878	30928	4
23524	45	Response	2	1370878	30928	4
23524	45	Port Input	1	1371019	31069	4
23524	45	Port Input	1	1372207	32257	6
23524	45	Response	2	1372207	32257	6
23524	45	Port Input	1	1373700	33750	4
23524	45	Response	2	1373700	33750	4
23524	45	Port Input	2	1375189	35239	4
23524	45	Response	3	1375189	35239	4
23524	46	Nothing	51	1387388	0	1			0		other	0
23524	46	Port Input	2	1389273	1885	5
23524	46	Response	3	1389273	1885	5
23524	47	Nothing	1000	1389293	0	1			0		other	0
23524	48	Nothing	62	1389400	0	1			0		other	0
23524	49	Nothing	101	1389517	0	1			0		false_alarm	432
23524	49	Port Input	2	1390511	993	4
23524	49	Response	3	1390511	993	4
23524	49	Port Input	2	1391679	2162	4
23524	49	Response	3	1391679	2162	4
23524	49	Port Input	2	1392828	3311	4
23524	49	Response	3	1392828	3311	4
23524	49	Port Input	2	1394302	4785	4
23524	49	Response	3	1394302	4785	4
23524	50	Nothing	19	1422533	0	1			0		other	0
23524	50	Port Input	1	1445630	23097	6
23524	50	Response	2	1445630	23097	6
23524	50	Port Input	1	1446944	24410	4
23524	50	Response	2	1446944	24410	4
23524	50	Port Input	1	1448249	25716	4
23524	50	Response	2	1448249	25716	4
23524	50	Port Input	2	1449631	27098	4
23524	50	Response	3	1449631	27098	4
