Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/13/2023 09:21:25

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23513	1	Nothing	61	10708	0	1			0		other	0
23513	1	Manual	06/13/2023 08:10:39	10885	178	NA
23513	1	Port Input	1	21569	10861	4
23513	1	Response	2	21569	10861	4
23513	1	Port Input	1	35580	24873	4
23513	1	Response	2	35580	24873	4
23513	1	Port Input	1	45388	34680	6
23513	1	Response	2	45388	34680	6
23513	1	Port Input	1	55646	44938	8
23513	1	Response	2	55646	44938	8
23513	1	Port Input	1	58403	47696	4
23513	1	Response	2	58403	47696	4
23513	1	Port Input	1	72817	62109	5
23513	1	Response	2	72817	62109	5
23513	1	Port Input	1	85619	74912	4
23513	1	Response	2	85619	74912	4
23513	1	Port Input	1	121520	110812	4
23513	1	Response	2	121520	110812	4
23513	1	Port Input	1	131325	120617	4
23513	1	Response	2	131325	120617	4
23513	1	Port Input	1	133372	122664	5
23513	1	Response	2	133372	122664	5
23513	1	Port Input	1	135352	124644	4
23513	1	Response	2	135352	124644	4
23513	1	Port Input	1	153778	143070	4
23513	1	Response	2	153778	143070	4
23513	1	Port Input	1	155920	145212	4
23513	1	Response	2	155920	145212	4
23513	1	Port Input	1	158312	147605	4
23513	1	Response	2	158312	147605	4
23513	1	Port Input	1	160891	150184	4
23513	1	Response	2	160891	150184	4
23513	1	Port Input	1	174497	163789	4
23513	1	Response	2	174497	163789	4
23513	1	Port Input	1	187671	176964	4
23513	1	Response	2	187671	176964	4
23513	1	Port Input	1	189507	178800	4
23513	1	Response	2	189507	178800	4
23513	1	Port Input	1	191450	180743	5
23513	1	Response	2	191450	180743	5
23513	1	Port Input	1	193789	183081	4
23513	1	Response	2	193789	183081	4
23513	1	Port Input	1	204541	193833	4
23513	1	Response	2	204541	193833	4
23513	1	Port Input	1	218665	207957	4
23513	1	Response	2	218665	207957	4
23513	1	Port Input	1	220846	210139	4
23513	1	Response	2	220846	210139	4
23513	1	Port Input	1	222754	212046	4
23513	1	Response	2	222754	212046	4
23513	1	Port Input	1	236627	225920	4
23513	1	Response	2	236627	225920	4
23513	1	Port Input	1	251222	240515	4
23513	1	Response	2	251222	240515	4
23513	1	Port Input	1	266197	255490	6
23513	1	Response	2	266197	255490	6
23513	1	Port Input	1	278751	268043	4
23513	1	Response	2	278751	268043	4
23513	1	Port Input	1	293271	282563	4
23513	1	Response	2	293271	282563	4
23513	1	Port Input	1	301436	290728	4
23513	1	Response	2	301436	290728	4
23513	1	Port Input	1	309583	298875	4
23513	1	Response	2	309583	298875	4
23513	1	Port Input	1	320514	309807	4
23513	1	Response	2	320514	309807	4
23513	1	Port Input	1	331716	321009	4
23513	1	Response	2	331716	321009	4
23513	1	Port Input	1	334666	323959	4
23513	1	Response	2	334666	323959	4
23513	1	Port Input	1	353047	342340	4
23513	1	Response	2	353047	342340	4
23513	1	Port Input	1	367016	356309	4
23513	1	Response	2	367016	356309	4
23513	1	Port Input	1	391107	380400	5
23513	1	Response	2	391107	380400	5
23513	1	Port Input	1	406671	395963	4
23513	1	Response	2	406671	395963	4
23513	1	Port Input	1	421098	410390	6
23513	1	Response	2	421098	410390	6
23513	1	Port Input	1	422978	412270	4
23513	1	Response	2	422978	412270	4
23513	1	Port Input	1	425502	414794	4
23513	1	Response	2	425502	414794	4
23513	1	Port Input	1	435459	424752	5
23513	1	Response	2	435459	424752	5
23513	1	Port Input	1	448557	437850	4
23513	1	Response	2	448557	437850	4
23513	1	Port Input	1	471509	460802	4
23513	1	Response	2	471509	460802	4
23513	1	Port Input	1	484087	473380	4
23513	1	Response	2	484087	473380	4
23513	1	Port Input	1	495283	484575	5
23513	1	Response	2	495283	484575	5
23513	1	Port Input	1	497234	486526	4
23513	1	Response	2	497234	486526	4
23513	1	Port Input	1	498998	488291	4
23513	1	Response	2	498998	488291	4
23513	1	Port Input	1	515846	505138	4
23513	1	Response	2	515846	505138	4
23513	1	Port Input	1	525025	514317	4
23513	1	Response	2	525025	514317	4
23513	1	Port Input	1	526686	515978	4
23513	1	Response	2	526686	515978	4
23513	1	Port Input	1	528747	518039	4
23513	1	Response	2	528747	518039	4
23513	1	Port Input	1	542141	531434	4
23513	1	Response	2	542141	531434	4
23513	1	Port Input	1	555476	544768	4
23513	1	Response	2	555476	544768	4
23513	1	Port Input	1	564310	553603	4
23513	1	Response	2	564310	553603	4
23513	1	Port Input	1	565971	555263	4
23513	1	Response	2	565971	555263	4
23513	1	Port Input	1	576671	565963	4
23513	1	Response	2	576671	565963	4
23513	1	Port Input	1	589275	578567	7
23513	1	Response	2	589275	578567	7
23513	1	Port Input	1	591424	580716	4
23513	1	Response	2	591424	580716	4
23513	1	Port Input	1	594304	583596	4
23513	1	Response	2	594304	583596	4
23513	1	Port Input	1	609119	598411	4
23513	1	Response	2	609119	598411	4
23513	1	Port Input	1	610942	600235	4
23513	1	Response	2	610942	600235	4
23513	1	Port Input	1	625267	614559	9
23513	1	Response	2	625267	614559	9
23513	1	Port Input	1	637219	626512	4
23513	1	Response	2	637219	626512	4
23513	1	Port Input	1	648272	637564	4
23513	1	Response	2	648272	637564	4
23513	1	Port Input	1	649953	639246	4
23513	1	Response	2	649953	639246	4
23513	1	Port Input	1	671271	660564	4
23513	1	Response	2	671271	660564	4
23513	1	Port Input	1	698647	687939	4
23513	1	Response	2	698647	687939	4
23513	1	Port Input	1	717108	706400	6
23513	1	Response	2	717108	706400	6
23513	2	Nothing	52	752354	0	1			0		other	0
23513	2	Port Input	1	754978	2624	4
23513	2	Response	2	754978	2624	4
23513	3	Nothing	1000	754994	0	1			0		other	0
23513	4	Nothing	62	755101	0	1			0		other	0
23513	5	Nothing	110	755217	0	0			0		false_alarm	148
23513	5	Port Input	1	756750	1533	4
23513	5	Response	2	756750	1533	4
23513	5	Port Input	1	770504	15287	6
23513	5	Response	2	770504	15287	6
23513	6	Nothing	19	785739	0	0			0		other	0
23513	6	Port Input	1	788788	3049	4
23513	6	Response	2	788788	3049	4
23513	6	Port Input	2	812178	26439	4
23513	6	Response	3	812178	26439	4
23513	6	Port Input	1	814912	29173	5
23513	6	Response	2	814912	29173	5
23513	6	Port Input	1	822008	36269	4
23513	6	Response	2	822008	36269	4
23513	7	Nothing	19	827633	0	1			0		other	0
23513	7	Port Input	1	838512	10879	4
23513	7	Response	2	838512	10879	4
23513	7	Port Input	2	872091	44458	4
23513	7	Response	3	872091	44458	4
